,Date,Open,Close,Volume,Returns,High,Low,LongStop,ShortStop,stopdist_long,stopdist_short,Signal,strategy_return
0,2017-09-09 23:59:59.999,4282.8,4258.81,658.782952,,4426.62,4150.06,,,,,0,
1,2017-09-10 23:59:59.999,4258.81,4130.37,660.373275,-3.015865934380746,4283.0,3801.0,,,,,0,-0.03015865934380746
2,2017-09-11 23:59:59.999,4153.62,4208.47,699.989065,1.8908717620939708,4334.43,4098.91,,,,,0,0.018908717620939708
3,2017-09-12 23:59:59.999,4208.6,4163.72,879.630319,-1.063331804670109,4394.59,4040.8,,,,,0,-0.01063331804670109
4,2017-09-13 23:59:59.999,4159.72,3944.69,913.462545,-5.260440183297632,4165.38,3760.0,,,,,0,-0.05260440183297632
5,2017-09-14 23:59:59.999,3944.0,3189.02,1665.021543,-19.15663841772104,3993.0,3165.13,,,,,0,-0.19156638417721042
6,2017-09-15 23:59:59.999,3188.01,3700.0,1968.866492,16.023104276548917,3856.0,2817.0,,,,,0,0.16023104276548916
7,2017-09-16 23:59:59.999,3674.01,3714.95,1297.563953,0.4040540540540593,3950.0,3470.66,,,,,0,0.004040540540540593
8,2017-09-17 23:59:59.999,3685.23,3699.99,682.17121,-0.402697209922076,3748.21,3499.02,,,,,0,-0.00402697209922076
9,2017-09-18 23:59:59.999,3690.0,4035.01,1030.006455,9.054619066538038,4123.2,3690.0,,,,,0,0.09054619066538037
10,2017-09-19 23:59:59.999,4060.0,3910.04,902.332129,-3.0971422623487954,4089.97,3830.91,2856.066967375935,4591.763032624065,2.6297800298344827,1.7009748462059786,0,-0.030971422623487954
11,2017-09-20 23:59:59.999,3910.04,3900.0,720.935076,-0.2567748667532843,4046.08,3820.0,2866.873270638341,4530.616729361659,2.6952537030157315,1.6451728783029964,0,-0.002567748667532843
12,2017-09-21 23:59:59.999,3889.99,3609.99,1001.654084,-7.436153846153848,3910.0,3567.0,2880.982943574507,4516.507056425493,1.9220712436622036,2.3900871064103697,0,-0.07436153846153848
13,2017-09-22 23:59:59.999,3592.84,3595.87,838.966425,-0.3911368175535057,3750.0,3505.55,2883.4241492170563,4469.315850782944,1.9476439576176137,2.387776603252138,0,-0.003911368175535057
14,2017-09-23 23:59:59.999,3595.88,3780.0,752.792791,5.120596684529755,3817.19,3542.91,2883.4241492170563,4437.284265704649,2.513903156531428,1.8429550481985768,0,0.051205966845297546
15,2017-09-24 23:59:59.999,3779.54,3660.02,661.63639,-3.1740740740740736,3789.99,3622.76,2883.4241492170563,4370.988339134185,2.2996262994077785,2.105292590825606,0,-0.031740740740740736
16,2017-09-25 23:59:59.999,3660.02,3920.75,727.994713,7.123731564308389,3979.87,3653.69,2883.4241492170563,4370.988339134185,3.08220912253509,1.337794401968305,0,0.07123731564308389
17,2017-09-26 23:59:59.999,3928.0,3882.35,526.727987,-0.9794044506790778,3976.99,3850.05,2930.439945301311,4370.988339134185,3.016273324876842,1.5483256853601497,0,-0.009794044506790778
18,2017-09-27 23:59:59.999,3882.36,4193.0,628.170966,8.001596970906789,4249.94,3872.81,2930.439945301311,4370.988339134185,3.924097898441136,0.5531963924758939,0,0.0800159697090679
19,2017-09-28 23:59:59.999,4192.11,4174.5,849.785325,-0.4412115430479368,4300.0,4101.0,3109.8523056940617,4370.988339134185,3.440220525473684,0.6349172791346039,0,-0.004412115430479368
20,2017-09-29 23:59:59.999,4178.98,4174.69,1602.309565,0.0045514432866156,4263.86,3952.01,3109.8523056940617,4370.988339134185,3.438191174438757,0.6338160461233939,0,4.5514432866156e-05
21,2017-09-30 23:59:59.999,4175.0,4378.51,720.353183,4.882278684165775,4380.0,4138.1,3132.75261761219,4370.988339134185,4.112390099504637,-0.024829877882901,1,0.04882278684165775
22,2017-10-01 23:59:59.999,4378.49,4378.48,726.963685,-0.0006851645879657,4406.52,4240.04,3366.019355850972,4608.360644149028,3.4998962953380275,0.7946564831696104,0,-6.851645879657e-06
23,2017-10-02 23:59:59.999,4400.0,4380.0,655.756974,0.0347152436461994,4561.63,4360.0,3396.697920265874,4577.682079734126,3.505311607086167,0.7047043862577083,0,0.000347152436461994
24,2017-10-03 23:59:59.999,4380.0,4310.0,1082.323563,-1.5981735159817378,4467.33,4180.8,3396.697920265874,4577.682079734126,3.2488099302069933,0.9522021443681096,0,-0.01598173515981738
25,2017-10-04 23:59:59.999,4314.9,4208.59,868.465101,-2.352900232018562,4373.0,4142.0,3413.6252654153577,4577.682079734126,2.879190102421441,1.33677157818564,0,-0.02352900232018562
26,2017-10-05 23:59:59.999,4208.59,4292.43,779.138638,1.9921161244027097,4355.0,4110.0,3424.512738873822,4577.682079734126,3.179226492628745,1.0448933436252248,0,0.019921161244027097
27,2017-10-06 23:59:59.999,4318.99,4369.0,506.529176,1.7838380590947225,4417.0,4292.0,3476.31146498644,4577.682079734126,3.457396825888221,0.8082289979018952,0,0.017838380590947226
28,2017-10-07 23:59:59.999,4369.0,4423.0,297.5975,1.2359807736324058,4479.5,4312.56,3508.251318487796,4577.682079734126,3.672641500000815,0.6210359597336107,0,0.012359807736324058
29,2017-10-08 23:59:59.999,4425.0,4640.0,518.462004,4.906172281257071,4658.0,4425.0,3556.1761866390166,4577.682079734126,4.376187280844476,-0.2516228991043269,0,0.04906172281257071
30,2017-10-09 23:59:59.999,4640.0,4786.95,646.463145,3.1670258620689618,4889.98,4550.0,3740.865567975115,5073.824432024885,4.0720223602623244,1.1166967656059126,0,0.03167025862068962
31,2017-10-10 23:59:59.999,4786.95,4783.06,1043.221773,-0.0812625993586557,4960.0,4680.59,3879.935511177603,5073.824432024885,3.4849892144306605,1.1220057944260342,0,-0.000812625993586557
32,2017-10-11 23:59:59.999,4783.06,4821.43,753.429396,0.8022061190952945,4881.61,4710.0,3910.573460059843,5073.824432024885,3.637703366646764,1.0079919667263322,0,0.008022061190952945
33,2017-10-12 23:59:59.999,4821.43,5430.0,1276.701482,12.62218885268478,5439.99,4810.16,3910.573460059843,5073.824432024885,5.26962100479762,-1.2352754181003782,0,0.1262218885268478
34,2017-10-13 23:59:59.999,5439.99,5649.98,1879.82762,4.051197053406996,5846.17,5379.84,4358.523052648473,5280.066947351527,4.218568889328986,-1.2083280815979078,0,0.04051197053406996
35,2017-10-14 23:59:59.999,5650.0,5869.99,970.759046,3.8939960849418975,5900.0,5580.01,4573.654247383625,5284.915752616374,4.215429318798859,-1.902546567212496,0,0.038939960849418975
36,2017-10-15 23:59:59.999,5855.03,5709.99,1343.523375,-2.7257286639329914,5922.3,5400.01,4718.495322645264,5443.924677354737,3.0136755635844903,-0.8087129255323002,0,-0.027257286639329914
37,2017-10-16 23:59:59.999,5710.0,5760.02,1528.996462,0.8761836710747373,5788.91,5585.19,4762.342790380737,5476.647209619263,3.1525111997236914,-0.8954157584827929,0,0.008761836710747373
38,2017-10-17 23:59:59.999,5760.0,5595.0,1429.869376,-2.864920607914568,5774.98,5508.63,4779.885011342663,5513.104988657336,2.6170896289673427,-0.2629403063757765,0,-0.028649206079145683
39,2017-10-18 23:59:59.999,5595.0,5512.06,2317.804373,-1.4823949955317215,5596.0,5037.95,4779.885011342663,5816.4119897916025,2.178329090945968,0.9054922710021932,0,-0.014823949955317215
