Date,Open,Regime_2,Prob_Regime0,Prob_Regime1,ROC_5,ROC_22
2017-10-02 23:59:59.999,4400.0,0,0.9123149142468406,0.0876850857531925,4.459813975673743,6.043768475947675
2017-10-03 23:59:59.999,4380.0,0,0.9079301194842512,0.092069880515782,3.2458977123008825,2.4125157123610075
2017-10-04 23:59:59.999,4314.9,0,0.8744482378625522,0.1255517621374811,0.8120363428182786,1.0776421084991217
2017-10-05 23:59:59.999,4208.59,0,0.8723676911942254,0.1276323088058078,-1.965965591034391,8.815394872600901
2017-10-06 23:59:59.999,4318.99,0,0.8388590415321155,0.1611409584679178,-0.2165134932670565,37.00133583357896
2017-10-07 23:59:59.999,4369.0,0,0.7158518900439936,0.2841481099560399,0.9817351598173429,19.54054054054053
2017-10-08 23:59:59.999,4425.0,1,0.2507363418628227,0.7492636581372107,7.656612529002316,24.90073890631099
2017-10-09 23:59:59.999,4640.0,1,0.4321023966490456,0.5678976033509878,13.742369772299035,29.37737669561269
2017-10-10 23:59:59.999,4786.95,0,0.6594924476861447,0.3405075523138887,11.430122331639648,18.53898751180294
2017-10-11 23:59:59.999,4783.06,0,0.5681292412174508,0.4318707587825826,10.35545891508356,23.308968706202492
2017-10-12 23:59:59.999,4821.43,1,1.0648587668100293e-10,0.9999999998935474,22.767352475695233,39.230769230769226
2017-10-13 23:59:59.999,5439.99,1,0.0552817278097746,0.9447182721902584,21.76681034482757,56.509574818766815
2017-10-14 23:59:59.999,5650.0,1,0.1623576006574483,0.8376423993425847,22.62484462967025,63.2425532624928
2017-10-15 23:59:59.999,5855.03,1,0.4432174070508395,0.5567825929491932,19.379434922413672,51.05793650793651
2017-10-16 23:59:59.999,5710.0,0,0.6741288014551294,0.3258711985449034,19.467046083838202,57.376735646253316
2017-10-17 23:59:59.999,5760.0,0,0.6189531926195473,0.3810468073804852,3.038674033149169,42.70228910285021
2017-10-18 23:59:59.999,5595.0,0,0.6042892785230639,0.3957107214769686,-2.441070587860472,41.977410588947436
2017-10-19 23:59:59.999,5513.0,1,0.3371542136684669,0.6628457863315655,-3.1701927941955588,35.55688051514427
2017-10-20 23:59:59.999,5683.31,1,0.0785127375312008,0.9214872624688316,5.254299919964844,43.969577194873644
2017-10-21 23:59:59.999,6013.72,0,0.6385104482971345,0.3614895517028979,4.599810417324934,44.321374760760705
2017-10-22 23:59:59.999,6003.27,0,0.7239143463902113,0.2760856536098211,6.3453083109919595,35.89143338715681
2017-10-23 23:59:59.999,5975.0,0,0.61021907756328,0.3897809224367526,7.3270247421109325,35.113783778845644
2017-10-24 23:59:59.999,5909.47,1,0.0010549980820533,0.9989450019179794,-3.639578458452819,25.046347031963467
2017-10-25 23:59:59.999,5506.92,1,0.1085237642840999,0.8914762357159327,-5.324783153439016,32.0183294663573
2017-10-26 23:59:59.999,5670.1,1,0.3333138620879416,0.6666861379120911,-2.708727180384296,39.281089390983695
2017-10-27 23:59:59.999,5861.77,0,0.5301599168909659,0.4698400831090668,-3.045199848067748,34.39543568561396
2017-10-28 23:59:59.999,5768.79,1,0.4841220117801406,0.5158779882198922,-3.317990577981822,30.914168001831086
2017-10-29 23:59:59.999,5709.98,1,0.0005569349949243,0.9994430650051084,12.6519299693447,39.49762604567035
2017-10-30 23:59:59.999,6133.01,1,0.1787058512098905,0.8212941487901422,7.566094140762991,31.90732758620689
2017-10-31 23:59:59.999,6120.52,1,0.0105251492216859,0.9894748507783466,10.256799567366158,35.01289965426837
2017-11-01 23:59:59.999,6463.0,1,0.0341831283435261,0.9658168716565064,17.077119623909876,41.20625708228622
2017-11-02 23:59:59.999,6753.98,1,0.1467666818455358,0.8532333181544967,22.73464763516584,45.59954204458012
2017-11-03 23:59:59.999,7010.31,1,0.4434410594228453,0.5565589405771874,15.317067478338675,31.032044198895026
2017-11-04 23:59:59.999,7115.02,1,0.4079739014590843,0.5920260985409482,20.20406829507393,30.214443236967227
2017-11-05 23:59:59.999,7357.27,1,0.461234468418364,0.5387655315816685,13.64706792511219,25.12815183671524
2017-11-06 23:59:59.999,7345.1,1,0.0920404254456434,0.9079595745543892,3.052126301825009,21.893733614244514
2017-11-07 23:59:59.999,6981.72,1,0.3084152862701629,0.6915847137298694,0.6276371157752703,22.639157502925332
2017-11-08 23:59:59.999,7070.0,1,0.2123230811062629,0.7876769188937696,2.6417279453102127,30.5272564789991
2017-11-09 23:59:59.999,7303.01,1,0.1342798787206808,0.8657201212793516,-3.766434826813325,28.445445078609445
2017-11-10 23:59:59.999,7079.0,1,3.016519680868425e-05,0.9999698348032238,-11.409514758999661,14.480902197434853
2017-11-11 23:59:59.999,6503.0,1,0.0174136915067233,0.9825863084933092,-10.273817118095662,3.910808800650911
2017-11-12 23:59:59.999,6245.05,1,0.000147962573973,0.9998520374260592,-17.73786671649651,-3.550889050069972
2017-11-13 23:59:59.999,5839.94,1,2.6693977126061006e-09,0.9999999973306346,-11.461180336847876,8.671735557191385
2017-11-14 23:59:59.999,6465.99,1,0.1346520959239011,0.865347904076131,-7.13277843612774,11.140429315424605
2017-11-15 23:59:59.999,6575.99,1,1.1801596135277345e-07,0.9999998819840707,11.26605583542597,32.189526075263444
2017-11-16 23:59:59.999,7240.14,1,2.3016587003363422e-05,0.9999769834130288,25.931737936445654,38.21641162813996
