Unnamed: 0.1,Unnamed: 0,Date,Open,Close,Volume,Returns,High,Low,LongStop,ShortStop,stopdist_long,stopdist_short,Signal,Open.1,Regime_2,Prob_Regime0,Prob_Regime1,ROC_5,ROC_22,EMA_10,EMA_20,EMA_50,pice/ema50,pice/ema20,target_1d,target,ml_prob
2150,2150,2023-08-09 23:59:59.999,29770.41,29581.99,38003.88725,-0.6329437072100319,30160.0,29376.67,29018.878738292216,31017.39621970786,0.8953631405391084,2.2823372719083213,0,29770.41,0.0,0.9616522543846489,0.0383477456153587,1.607474619590099,1.6967920567703798,29383.86499681723,29457.440101022818,29341.61183370509,240.3781662949077,124.54989897718406,-0.0042674613844437,0,0.5209122234038338
2151,2151,2023-08-10 23:59:59.999,29581.99,29455.75,23463.45373,-0.4267461384443782,29738.0,29320.2,29018.878738292216,31017.39621970786,0.7187658615122331,2.5693106616759747,0,29581.99,0.0,0.966460359663176,0.0335396403368316,1.31954555789342,0.8376621731631673,29396.93499739591,29457.279139020644,29346.087840226464,109.66215977353568,-1.5291390206439246,-0.0010089710837443,0,0.5146533552872559
2152,2152,2023-08-11 23:59:59.999,29455.76,29426.03,20637.0443,-0.1008971083744314,29564.52,29252.45,29018.878738292216,31017.39621970786,0.7041292194452337,2.752115883012113,0,29455.76,0.0,0.9683415312553302,0.0316584687446774,1.160633681719392,-1.156819420082078,29402.22499786938,29454.303030542487,29349.22282688425,76.80717311575063,-28.273030542488414,0.0001406917616817,0,0.505939479043208
2153,2153,2023-08-12 23:59:59.999,29426.02,29430.17,8971.48068,0.0140691761681743,29481.35,29381.56,29018.878738292216,30928.492734942767,0.7754515800607363,2.824948741745443,0,29426.02,0.0,0.9676756024559156,0.032324397544092,0.7500926019117227,-0.5132176706164948,29407.305907347672,29452.004646681296,29352.397225829965,77.77277417003279,-21.83464668129818,-0.0042925338181871,0,0.5045323752180714
2154,2154,2023-08-13 23:59:59.999,29430.18,29303.84,11101.70947,-0.4292533818187172,29474.65,29272.32,29018.878738292216,30813.67196144849,0.5726904306960869,3.03432933690241,0,29430.18,0.0,0.9624742332267716,0.0375257667732358,-1.567260387995861,-0.5157227366473394,29388.49392419355,29437.893727949748,29350.493020895457,-46.6530208954573,-134.05372794974755,0.0043369742668537,0,0.5118643707005616
2155,2155,2023-08-14 23:59:59.999,29303.85,29430.93,31443.11532,0.4336974266853755,29695.32,29102.45,29018.878738292216,30813.67196144849,0.8125447635158424,2.7266989437478792,0,29303.85,0.0,0.945552379201742,0.0544476207982654,-0.5106485398717275,0.0166519234840789,29396.209574340177,29437.23051576406,29353.64741223289,77.28258776710936,-6.300515764058218,-0.0078465070590701,0,0.5160308486743261
2156,2156,2023-08-15 23:59:59.999,29430.92,29200.0,27503.87691,-0.7846507059070196,29499.26,29059.6,29018.878738292216,30813.67196144849,0.3619769277525583,3.22497763927882,0,29430.92,0.0,0.8768762556750258,0.1231237443249816,-0.8682515298371274,-0.7820885846055226,29360.535106278323,29414.63713331033,29347.62202351788,-147.6220235178771,-214.637133310338,-0.0160784246575342,0,0.5107842325682653
2157,2157,2023-08-16 23:59:59.999,29200.01,28730.51,32996.69854,-1.6078424657534285,29259.85,28723.08,29018.878738292216,30813.67196144849,-0.572152042540084,4.133198966861542,-1,29200.01,0.0,0.6341137186889252,0.3658862813110823,-2.3636215962533846,-1.9565012639981672,29245.985086954992,29349.482168233164,29323.42155200737,-592.9115520073719,-618.9721682331656,-0.0733401530289576,0,0.5633531764555123
2158,2158,2023-08-17 23:59:59.999,28730.51,26623.41,100271.54033,-7.334015302895769,28783.48,25166.0,26916.67937859365,30813.67196144849,-0.3596832933512788,5.139190560998569,0,28730.51,1.0,0.0047282684640305,0.9952717315359773,-9.537015926173709,-9.539351967470957,28769.153252963173,29089.856247449054,29217.5387460463,-2594.128746046299,-2466.4462474490538,-0.0213875683092436,1,0.5609323813942356
2159,2159,2023-08-18 23:59:59.999,26623.41,26054.0,69790.65711,-2.13875683092436,26832.6,25619.0,26777.29344073428,29616.53655926572,-0.8457801541111654,4.165837197505246,0,26623.41,0.0,0.5650635658739949,0.4349364341260125,-11.090150642373152,-10.773972602739724,28275.489025151684,28800.72708102533,29093.47840306409,-3039.478403064092,-2746.727081025332,0.0017659476471942,1,0.570903768623489
2160,2160,2023-08-19 23:59:59.999,26054.0,26100.01,26160.75343,0.1765947647194288,26281.0,25801.09,26720.207596660857,28915.782403339144,-0.7585103555672961,3.4437291249634843,0,26054.0,0.0,0.8697494592830732,0.1302505407169341,-11.31775312570823,-9.155772034676724,27879.94738421501,28543.515930451493,28976.08748529687,-2876.077485296872,-2443.5059304514944,0.0034475082576597,1,0.5713272861032596
