Date,Open,High,Low,Close,Volume,Returns,Regime_2,Prob_Regime0,Prob_Regime1
2017-09-10 23:59:59.999,4258.81,4283.0,3801.0,4130.37,660.373275,-3.015865934380746,0,0.5989394240993131,0.4010605759007202
2017-09-11 23:59:59.999,4153.62,4334.43,4098.91,4208.47,699.989065,1.8908717620939708,0,0.658380274258521,0.3416197257415125
2017-09-12 23:59:59.999,4208.6,4394.59,4040.8,4163.72,879.630319,-1.063331804670109,0,0.5557391032639369,0.44426089673609637
2017-09-13 23:59:59.999,4159.72,4165.38,3760.0,3944.69,913.462545,-5.260440183297632,1,0.02571033317926311,0.9742896668207702
2017-09-14 23:59:59.999,3944.0,3993.0,3165.13,3189.02,1665.021543,-19.15663841772104,1,5.660345624712459e-26,1.0000000000000333
2017-09-15 23:59:59.999,3188.01,3856.0,2817.0,3700.0,1968.866492,16.023104276548917,1,1.54766911791148e-17,1.0000000000000333
2017-09-16 23:59:59.999,3674.01,3950.0,3470.66,3714.95,1297.563953,0.40405405405405936,1,0.45850018281384236,0.541499817186191
2017-09-17 23:59:59.999,3685.23,3748.21,3499.02,3699.99,682.17121,-0.402697209922076,1,0.4569160696733128,0.5430839303267206
2017-09-18 23:59:59.999,3690.0,4123.2,3690.0,4035.01,1030.006455,9.054619066538038,1,2.27012114955296e-05,0.999977298788538
2017-09-19 23:59:59.999,4060.0,4089.97,3830.91,3910.04,902.332129,-3.0971422623487954,1,0.15730119613409535,0.8426988038659382
2017-09-20 23:59:59.999,3910.04,4046.08,3820.0,3900.0,720.935076,-0.2567748667532843,1,0.28082709530839334,0.7191729046916401
2017-09-21 23:59:59.999,3889.99,3910.0,3567.0,3609.99,1001.654084,-7.436153846153848,1,0.0007947818818755259,0.9992052181181579
2017-09-22 23:59:59.999,3592.84,3750.0,3505.55,3595.87,838.966425,-0.3911368175535057,1,0.20084293306660564,0.7991570669334277
2017-09-23 23:59:59.999,3595.88,3817.19,3542.91,3780.0,752.792791,5.120596684529755,1,0.026867114239187355,0.973132885760846
2017-09-24 23:59:59.999,3779.54,3789.99,3622.76,3660.02,661.63639,-3.1740740740740736,1,0.05459268096358841,0.945407319036445
2017-09-25 23:59:59.999,3660.02,3979.87,3653.69,3920.75,727.994713,7.123731564308389,1,0.0006539841158274583,0.999346015884206
2017-09-26 23:59:59.999,3928.0,3976.99,3850.05,3882.35,526.727987,-0.9794044506790778,1,0.16546917676040016,0.8345308232396332
2017-09-27 23:59:59.999,3882.36,4249.94,3872.81,4193.0,628.170966,8.001596970906789,1,0.00043960620955943235,0.999560393790474
2017-09-28 23:59:59.999,4192.11,4300.0,4101.0,4174.5,849.785325,-0.44121154304793686,0,0.5601916812456079,0.43980831875442544
2017-09-29 23:59:59.999,4178.98,4263.86,3952.01,4174.69,1602.309565,0.0045514432866156085,0,0.6335268263092633,0.36647317369077026
2017-09-30 23:59:59.999,4175.0,4380.0,4138.1,4378.51,720.353183,4.882278684165775,1,0.36597959459433393,0.6340204054056995
2017-10-01 23:59:59.999,4378.49,4406.52,4240.04,4378.48,726.963685,-0.0006851645879657475,0,0.8104846271985937,0.18951537280143957
2017-10-02 23:59:59.999,4400.0,4561.63,4360.0,4380.0,655.756974,0.03471524364619949,0,0.9123149142468406,0.08768508575319256
2017-10-03 23:59:59.999,4380.0,4467.33,4180.8,4310.0,1082.323563,-1.5981735159817378,0,0.9079301194842512,0.092069880515782
2017-10-04 23:59:59.999,4314.9,4373.0,4142.0,4208.59,868.465101,-2.352900232018562,0,0.8744482378625522,0.1255517621374811
2017-10-05 23:59:59.999,4208.59,4355.0,4110.0,4292.43,779.138638,1.9921161244027097,0,0.8723676911942254,0.12763230880580784
2017-10-06 23:59:59.999,4318.99,4417.0,4292.0,4369.0,506.529176,1.7838380590947223,0,0.8388590415321155,0.16114095846791782
2017-10-07 23:59:59.999,4369.0,4479.5,4312.56,4423.0,297.5975,1.2359807736324058,0,0.7158518900439936,0.2841481099560399
2017-10-08 23:59:59.999,4425.0,4658.0,4425.0,4640.0,518.462004,4.906172281257071,1,0.2507363418628227,0.7492636581372107
2017-10-09 23:59:59.999,4640.0,4889.98,4550.0,4786.95,646.463145,3.1670258620689618,1,0.43210239664904565,0.5678976033509878
2017-10-10 23:59:59.999,4786.95,4960.0,4680.59,4783.06,1043.221773,-0.08126259935865576,0,0.6594924476861447,0.34050755231388874
2017-10-11 23:59:59.999,4783.06,4881.61,4710.0,4821.43,753.429396,0.8022061190952945,0,0.5681292412174508,0.43187075878258263
2017-10-12 23:59:59.999,4821.43,5439.99,4810.16,5430.0,1276.701482,12.62218885268478,1,1.0648587668100294e-10,0.9999999998935474
2017-10-13 23:59:59.999,5439.99,5846.17,5379.84,5649.98,1879.82762,4.051197053406996,1,0.055281727809774646,0.9447182721902584
2017-10-14 23:59:59.999,5650.0,5900.0,5580.01,5869.99,970.759046,3.8939960849418975,1,0.16235760065744834,0.8376423993425847
2017-10-15 23:59:59.999,5855.03,5922.3,5400.01,5709.99,1343.523375,-2.7257286639329914,1,0.44321740705083956,0.5567825929491932
2017-10-16 23:59:59.999,5710.0,5788.91,5585.19,5760.02,1528.996462,0.8761836710747373,0,0.6741288014551294,0.3258711985449034
2017-10-17 23:59:59.999,5760.0,5774.98,5508.63,5595.0,1429.869376,-2.8649206079145673,0,0.6189531926195473,0.38104680738048524
2017-10-18 23:59:59.999,5595.0,5596.0,5037.95,5512.06,2317.804373,-1.4823949955317217,0,0.6042892785230639,0.3957107214769686
2017-10-19 23:59:59.999,5513.0,5710.0,5490.26,5683.9,1881.722107,3.1175277482465624,1,0.33715421366846693,0.6628457863315655
2017-10-20 23:59:59.999,5683.31,6110.0,5600.0,6010.01,1972.97722,5.737433804254133,1,0.07851273753120086,0.9214872624688317
2017-10-21 23:59:59.999,6013.72,6171.0,5850.03,6024.97,1664.307693,0.24891805504483333,0,0.6385104482971345,0.3614895517028979
2017-10-22 23:59:59.999,6003.27,6060.0,5720.03,5950.02,1362.092216,-1.2439895966286918,0,0.7239143463902113,0.2760856536098211
2017-10-23 23:59:59.999,5975.0,6080.0,5621.03,5915.93,1812.557715,-0.5729392506243713,0,0.61021907756328,0.38978092243675266
2017-10-24 23:59:59.999,5909.47,5925.0,5450.0,5477.03,2580.418767,-7.418951880769386,1,0.0010549980820533356,0.9989450019179794
